"given_name","powo_taxa","powo_author","powo_dist","Bhardwaj2017","Champion1968","eFI2022","FOI2022","Kumar2013"
"Plectranthus striatus","Isodon lophanthoides","(Buch.-Ham. ex D.Don) H.Hara","Native",0,1,0,0,0
"Plectranthus striatus","Isodon lophanthoides","(Buch.-Ham. ex D.Don) H.Hara","Native",0,1,0,0,0
"Isodon rugosus","Isodon rugosus","(Wall. ex Benth.) Codd","Native",1,0,0,0,0
"Isodon wightii","Isodon wightii","(Benth.) H.Hara",NA,0,0,0,0,1
"Jacaranda mimosifolia","Jacaranda mimosifolia","D.Don","Introduced",1,0,0,0,0
"Senecio laetus","Jacobaea analoga","(DC.) Veldkamp","Native",1,0,0,0,0
"Senecio nudicaulis","Jacobaea nudicaulis","(Buch.-Ham. ex D.Don) B.Nord.","Native",0,0,0,0,1
"Jasminum officinale","Jasminum officinale","L.","Native",0,1,0,0,0
"Juglans regia","Juglans regia","L.","Native",1,0,0,0,0
"Justicia adhatoda","Justicia adhatoda","L.","Native",1,0,0,0,0
"Kalanchoe integra","Kalanchoe integra","(Medik.) Kuntze","Native",1,0,0,0,0
"Oldenlandia coccinea","Kohautia coccinea","Royle","Native",1,0,0,0,0
"Lagerstroemia parviflora","Lagerstroemia parviflora","Roxb.","Native",0,1,0,0,0
"Lamium album","Lamium album","L.","Native",1,0,0,0,0
"Lannea coromandelica","Lannea coromandelica","(Houtt.) Merr.","Native",0,1,0,0,0
"Lantana camara","Lantana camara","L.","Introduced",1,0,0,0,0
"Lathraea squamaria","Lathraea squamaria","L.","Native",1,0,0,0,0
"Lathyrus aphaca","Lathyrus aphaca","L.","Native",1,0,0,0,0
"Lecanthus peduncularis","Lecanthus peduncularis","(Royle) Wedd.","Native",1,0,0,0,0
"Lepidium sativum","Lepidium sativum","L.","Native",1,0,0,0,0
"Lepisorus nudus","Lepisorus nudus","(Hook.) Ching","Native",1,0,0,0,0
"Leptodermis lanceolata","Leptodermis lanceolata","Wall.","Native",1,1,0,0,0
"Desmodium microphyllum","Leptodesmia microphylla","(Thunb.) H.Ohashi & K.Ohashi","Native",1,0,0,0,0
"Desmodium parvifolium","Leptodesmia microphylla","(Thunb.) H.Ohashi & K.Ohashi","Native",0,1,0,0,0
"Andrachne cordifolia","Leptopus cordifolius","Decne.","Native",1,0,0,0,0
"Lespedeza juncea","Lespedeza cuneata","(Dum.Cours.) G.Don","Native",1,0,0,0,0
"Lespedeza gerardiana","Lespedeza gerardiana","Wall. ex Maxim.","Native",1,0,0,0,1
"Leucanthemum vulgare","Leucanthemum vulgare","Lam.","Introduced",0,0,0,1,0
"Leucas lanata","Leucas lanata","Benth.","Native",1,0,0,0,0
"Lindenbergia indica","Lindenbergia indica","(L.) Vatke","Native",1,0,0,0,0
"Lindera pulcherrima","Lindera pulcherrima","(Nees) Benth. ex Hook.f.","Native",0,1,0,0,0
"Liparis odorata","Liparis odorata","(Willd.) Lindl.","Native",1,0,0,0,0
"Lonicera angustifolia","Lonicera angustifolia","Wall. ex DC.","Native",1,1,0,0,0
"Lonicera quinquelocularis","Lonicera quinquelocularis","Hardw.","Native",0,1,0,0,1
"Lyonia ovalifolia","Lyonia ovalifolia","(Wall.) Drude","Native",1,1,0,0,1
"Anagallis arvensis","Lysimachia arvensis","(L.) U.Manns & Anderb.","Native",1,0,0,0,0
"Machilus duthiei","Machilus duthiei","King ex Hook.f.","Native",1,1,0,0,0
"Machilus odoratissimus","Machilus odoratissimus","Nees","Native",0,1,0,0,0
"Malaxis muscifera","Malaxis muscifera","(Lindl.) Kuntze","Native",1,0,0,0,0
"Mallotus philippensis","Mallotus philippensis","(Lam.) Müll.Arg.","Native",1,1,0,0,0
"Malva verticillata","Malva verticillata","L.","Native",1,0,0,0,0
"Malvastrum coromandelianum","Malvastrum coromandelianum","(L.) Garcke","Introduced",1,0,0,0,0
"Marsdenia roylei","Marsdenia roylei","Wight","Native",1,0,0,0,0
"Mazus surculosus","Mazus surculosus","D.Don","Native",1,0,0,0,0
"Melia azedarach","Melia azedarach","L.","Native",1,0,0,0,0
"Meliosma dilleniifolia","Meliosma dilleniifolia","(Wall. ex Wight & Arn.) Walp.",NA,0,1,0,0,0
"Mentha longifolia","Mentha longifolia","(L.) L.","Native",1,0,0,0,0
"Mentha sylvestris","Mentha longifolia","(L.) L.","Native",1,0,0,0,0
"Micromeria biflora","Micromeria biflora","(Buch.-Ham. ex D.Don) Benth.","Native",1,0,0,0,0
"Mimosa pudica","Mimosa pudica","L.","Introduced",1,0,0,0,0
"Mirabilis jalapa","Mirabilis jalapa","L.","Introduced",1,0,0,0,0
"Morus alba","Morus alba","L.","Introduced",1,0,0,0,0
"Murdannia divergens","Murdannia divergens","(C.B.Clarke) G.Brückn.","Native",0,0,1,0,0
"Myriactis nepalensis","Myriactis nepalensis","Less.","Native",1,1,0,0,0
"Myrica esculenta","Myrica esculenta","Buch.-Ham. ex D.Don","Native",1,0,0,0,0
"Myrica sapida","Myrica esculenta","Buch.-Ham. ex D.Don","Native",0,1,0,0,0
"Myrsine africana","Myrsine africana","L.","Native",1,1,0,0,1
"Myrsine semiserrata","Myrsine semiserrata","Wall.","Native",0,1,0,0,0
"Nepeta erecta","Nepeta erecta","(Royle ex Benth.) Benth.","Native",1,0,0,0,0
"Nepeta spicata","Nepeta laevigata","(D.Don) Hand.-Mazz.","Native",1,0,0,0,0
"Nicandra physalodes","Nicandra physalodes","(L.) Gaertn.","Introduced",1,0,0,0,0
"Ocimum sanctum","Ocimum tenuiflorum","L.","Native",1,0,0,0,0
"Oenothera rosea","Oenothera rosea","L'Hér. ex Aiton","Introduced",1,0,0,0,0
"Onychium contiguum","Onychium lucidum","(D.Don) Spreng.","Native",1,0,0,0,1
"Oplismenus burmanni","Oplismenus burmanni","(Retz.) P.Beauv.","Native",1,0,0,0,1
"Opuntia dillenii","Opuntia dillenii","(Ker Gawl.) Haw.","Introduced",1,0,0,0,0
"Gerbera gossypina","Oreoseris gossypina","(Royle) X.D.Xu & V.A.Funk","Native",1,0,0,0,0
"Gerbera lanuginosa","Oreoseris gossypina","(Royle) X.D.Xu & V.A.Funk","Native",0,0,0,0,1
"Origanum vulgare","Origanum vulgare","L.","Native",1,0,0,0,0
