"verbatimScientificName","taxon_name","taxon_authors","LL","UL","IUCN"
"Stellaria palustris Ehrh. ex Retz.","Stellaria longipes subsp. longipes",NA,NA,NA,"NE"
"Cassine glauca Rottb.","Elaeodendron glaucum","(Rottb.) Pers.",700,800,"NE"
"Silene uralensis A.E. Porsild","Silene uralensis","(Rupr.) Bocquet",886.5,3686.5,"NE"
"Silene kunawarensis Benth.","Silene kunawarensis","Royle ex Benth.",NA,NA,"NE"
"Cerastium glomeratum Thuill.","Cerastium glomeratum","Thuill.",1930,2030,"NE"
"Euonymus fimbriatus Wall.","Euonymus fimbriatus","Wall.",1150,2850,"NE"
"Gypsophila cerastoides D.Don","Acanthophyllum cerastioides","(D.Don) Madhani & Zarre",1600,3100,"NE"
"Terminalia alata Heyne ex Roth","Terminalia paniculata","B.Heyne ex Roth",650,850,"NE"
"Terminalia alata Heyne ex Roth","Terminalia elliptica","Willd.",650,850,"NE"
"Cerastium fontanum Baumg.","Cerastium fontanum","Baumg.",1300,2500,"NE"
"Carica papaya L.","Carica papaya","L.",550,650,"DD"
"Codonopsis clematidea (Schrenk) C.B.Clarke","Codonopsis clematidea","(Schrenk) C.B.Clarke",NA,NA,"NE"
"Polycarpaea corymbosa (L.) Lam.","Polycarpaea corymbosa","(L.) Lam.",638,1038,"NE"
"Colchicum luteum Baker","Colchicum luteum","Baker",650,2350,"NE"
"Lonicera rupicola Hook. fil. & Thoms.","Lonicera rupicola","Hook.f. & Thomson",2267.5,2632.5,"NE"
"Silene gallica L.","Silene gallica","L.",350,1550,"NE"
"Silene vulgaris (Moench) Garcke","Silene vulgaris","(Moench) Garcke",1138,2662,"LC"
"Silene nigrescens (Edgew. & Hook. f.) Majumdar","Silene nigrescens","(Edgew.) Majumdar",500,4500,"NE"
"Artemisia stricta Fisch.","Artemisia desertorum subsp. desertorum",NA,1450,3550,"NE"
"Artemisia stricta Fisch.","Artemisia stricta","Edgew.",1450,3550,"NE"
"Silene caespitella F. N. Williams","Silene caespitella","F.N.Williams",615,4265,"NE"
"Arenaria neelgherrensis Wight & Arn.","Arenaria neelgherrensis","Wight & Arn.",1100,2900,"NE"
"Valeriana himalayana Grubov","Valeriana himalayana","Grubov",NA,NA,"NE"
"Lonicera obovata Royle","Lonicera obovata","Royle ex Hook.f. & Thomson",900,3700,"NE"
"Morina persica L.","Morina persica","L.",0,2439,"NE"
"Silene falconeriana Benth.","Silene falconeriana","Royle ex Benth.",750,1750,"NE"
"Silene songarica (Fisch., Mey. & Av??????-Lall.) Bocquet","Silene songarica","(Fisch., C.A.Mey. & Avé-Lall.) Bocquet",671,4329,"NE"
"Dianthus orientalis Adams","Dianthus orientalis","Adams",NA,NA,"NE"
"Lonicera webbiana Wall.","Lonicera webbiana","Wall. ex DC.",1150,3350,"NE"
"Stellaria decumbens Edgew.","Stellaria decumbens","Edgew.",2000,3000,"NE"
"Morina polyphylla Wall. ex DC.","Morina polyphylla","Wall. ex DC.",650,3650,"NE"
"Silene suaveolens Turcz. ex Kar. & Kir.","Silene suaveolens","Kar. & Kir.",576.5,2776.5,"NE"
"Cerastium cerastoides (L.) Britton","Dichodon cerastoides","(L.) Rchb.",1250,3250,"NE"
"Valeriana jatamansii Wall.","Nardostachys jatamansi","(D.Don) DC.",1200,2400,"NE"
"Valeriana jatamansii Wall.","Valeriana jatamansi","Jones ex Roxb.",1200,2400,"NE"
"Valeriana jatamansii Wall.","Nardostachys jatamansi","(D.Don) DC.",1200,2400,"NE"
"Spergula fallax (Lowe) E. H. L. Krause","Spergularia flaccida","(Madden) I.M.Turner",350,750,"NE"
"Euonymus grandiflorus Wall.","Euonymus grandiflorus","Wall.",240.5,1740.5,"LC"
"Tauscheria lasiocarpa Fisch. ex DC.","Isatis gymnocarpa","(Fisch. ex DC.) Al-Shehbaz, Moazzeni & Mumm.",0,3500,"NE"
"Morina longifolia Wall.","Morina longifolia","Wall. ex DC.",950,3250,"NE"
"Arenaria edgeworthiana Majumdar","Eremogone edgeworthiana","(Majumdar) Pusalkar & D.K.Singh",1050,4050,"NE"
"Dianthus seguieri Costa ex Willk. & Lange","Dianthus legionensis","(Willk.) F.N.Williams",NA,NA,"NE"
"Cyananthus lobatus Wall. ex Benth.","Cyananthus lobatus","Wall. ex Benth.",1200,3700,"NE"
"Lonicera angustifolia Wall.","Lonicera acuminata","Wall.",1350,3150,"NE"
"Lonicera angustifolia Wall.","Lonicera sempervirens","L.",1350,3150,"NE"
"Lonicera angustifolia Wall.","Lonicera tatarica","L.",1350,3150,"NE"
"Lonicera angustifolia Wall.","Lonicera angustifolia","Wall. ex DC.",1350,3150,"NE"
"Capparis sepiaria L.","Capparis sepiaria","L.",300,700,"LC"
"Silene baccifera (L.) Roth","Silene baccifera","(L.) Durande",815,2185,"NE"
"Arenaria glanduligera Edgew. ex Edgew. & Hook. fil.","Shivparvatia glanduligera","(Edgew.) Pusalkar & D.K.Singh",1250,4250,"NE"
"Lonicera orientalis Bieb.","Lonicera caucasica subsp. orientalis","(Lam.) D.F.Chamb. & D.G.Long",533.5,2972.5,"NE"
"Cannabis sativa L.","Cannabis sativa","L.",1400,1600,"NE"
"Arenaria pulvinata Edgew.","Eremogone pulvinata","(Edgew.) Pusalkar & D.K.Singh",950,3950,"NE"
"Pseudostellaria himalaica (Franch.) Pax","Pseudostellaria himalaica","(Franch.) Pax",700,3100,"NE"
"Lepyrodiclis holosteoides (C. A. Mey.) Fenzl ex Fisch. & C. A. Mey.","Lepyrodiclis holosteoides","(C.A.Mey.) Fenzl ex Fisch. & C.A.Mey.",527.5,3572.5,"NE"
"Euonymus lucidus D. Don","Euonymus lucidus","D.Don",750,2250,"NE"
"Codonopsis viridis Wall.","Codonopsis viridis","Wall.",1050,2250,"NE"
"Adenostemma lavenia (L.) Kuntze","Adenostemma lavenia","(L.) Kuntze",800,1200,"NE"
"Capparis decidua (Forsk.) Edgew.","Capparis decidua","(Forssk.) Edgew.",125,475,"LC"
"Arenaria compressa McNeill","Himgiria compressa","(McNeill) Pusalkar & D.K.Singh",NA,NA,"NE"
"Lobelia nicotianifolia Roth","Lobelia nicotianifolia","Roth",1450,1750,"NE"
"Cerastium thomsonii Hook. fil.","Cerastium thomsonii","Hook.f.",0,3048,"NE"
"Herniaria hirsuta L.","Herniaria hirsuta","L.",1450,1850,"NE"
"Dianthus angulatus Royle","Dianthus angulatus","Royle",500,2500,"NE"
"Silene viscosa (L.) Pers.","Silene viscosa","(L.) Pers.",750,3250,"NE"
"Celtis tetrandra Roxb.","Celtis tetrandra","Roxb.",1348,1652,"LC"
"Trema cannabina Lour.","Trema cannabina","Lour.",825,1175,"LC"
"Raphanus raphanistrum L.","Raphanus raphanistrum","L.",1598,1902,"NE"
"Lonicera asperifolia (Decne.) Hook. fil. & Thoms.","Lonicera asperifolia","(Decne.) Hook.f. & Thomson",1000,3500,"NE"
"Valeriana stracheyi C. B. Cl.","Valeriana stracheyi","C.B.Clarke",650,2350,"NE"
"Cerastium davuricum Fischer","Cerastium davuricum","Fisch. ex Spreng.",550,3050,"NE"
"Garuga pinnata Roxb.","Garuga pinnata","Roxb.",700,800,"NE"
"Sisymbrium orientale L.","Sisymbrium orientale","L.",557.5,3557.5,"NE"
"Capparis spinosa L.","Capparis spinosa","L.",1372.5,1572.5,"LC"
"Campanula cashmeriana Royle","Campanula cashmeriana","Royle",1000,3000,"NE"
"Stellaria alsinoides Boiss. & Buhse","Stellaria alsinoides","Boiss. & Buhse",0,3500,"NE"
"Leycesteria formosa Wall.","Leycesteria formosa","Wall.",1329,2329,"NE"
"Euonymus echinatus Wall.","Euonymus echinatus","Wall.",1250,2250,"LC"
"Lonicera vaccinioides Rehder","Lonicera vaccinioides","Rehder",NA,NA,"NE"
"Campanula alsinoides Hook.f. & Thomson","Campanula alsinoides","Hook.f. & Thomson",500,3000,"NE"
"Valeriana pyrolifolia Decne.","Valeriana pyrolifolia","Decne.",850,2950,"NE"
"Chimonanthus praecox (L.) Link","Chimonanthus praecox","(L.) Link",NA,NA,"LC"
"Lonicera purpurascens (Royle ex Hook. fil. & Thoms.) Walp.","Lonicera purpurascens","(Jacquem. ex Decne.) Walp.",850,3650,"NE"
"Codonopsis ovata Benth.","Codonopsis ovata","Benth.",650,3350,"NE"
"Valeriana jaeschkii C.B.Clarke","Valeriana jaeschkei","C.B.Clarke",NA,NA,"NE"
"Lobelia heyneana Schult.","Lobelia heyneana","Schult.",1050,1450,"LC"
"Valeriana hardwickii D. Don","Valeriana hardwickei","Wall.",1674,2588,"NE"
"Nopalea cochenillifera (L.) Salm-Dyck","Opuntia cochenillifera","(L.) Mill.",375,625,"DD"
"Arenaria festucoides Benth.","Eremogone festucoides","(Benth.) Pusalkar & D.K.Singh",862.5,3862.5,"NE"
"Turritis glabra L.","Turritis glabra","L.",750,2250,"NE"
"Campanula argyrotricha Wall. ex A.DC.","Campanula argyrotricha","Wall. ex A.DC.",1130.5,3569.5,"NE"
"Morina coulteriana Royle","Morina coulteriana","Royle",950,3050,"NE"
"Draba lasiophylla Royle","Draba lasiophylla","Royle",1165,3865,"NE"
"Campanula dimorphantha Schweinf.","Campanula dimorphantha","Schweinf.",1200,1500,"NE"
"Nardostachys jatamansi (D. Don) DC.","Nardostachys jatamansi","(D.Don) DC.",1327.5,3827.5,"CR"
"Nardostachys jatamansi (D. Don) DC.","Nardostachys jatamansi","(D.Don) DC.",1327.5,3827.5,"CR"
"Minuartia foliosa (Royle ex Edgew. & Hook. fil.) Majumdar","Sabulina foliosa","(Royle ex Edgew. & Hook.f.) Dillenb. & Kadereit",NA,NA,"NE"
"Trema politoria (Wall. ex Planch.) Bl.","Trema politoria","(Planch.) Blume",850,950,"NE"
"Spergula arvensis L.","Spergula arvensis","L.",1175,1275,"NE"
"Lepidium capitatum Hook.f. & Thomson","Lepidium capitatum","Hook.f. & Thomson",1350,3950,"NE"
"Celtis australis L.","Celtis australis","L.",1021.5,1721.5,"LC"
"Canna indica L.","Canna indica","L.",885,1085,"NE"
"Euclidium syriacum (L.) W.T. Aiton","Euclidium syriacum","(L.) W.T.Aiton",600,2600,"NE"
"Codonopsis rotundifolia Benth.","Codonopsis rotundifolia","Benth.",900,3100,"NE"
"Opuntia elatior Mill.","Opuntia elatior","Mill.",0,1580,"LC"
"Capparis himalayensis Jafri","Capparis spinosa subsp. himalayensis","(Jafri) Fici",300,1800,"NE"
"Iberis amara L.","Iberis amara","L.",NA,NA,"NE"
"Abelia triflora R. Br.","Zabelia triflora","(R.Br. ex Wall.) Makino ex Hisauti & H.Hara",1350,2850,"NE"
"Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.","Nasturtium microphyllum","(Boenn.) Rchb.",NA,NA,"LC"
"Capparis zeylanica L.","Capparis zeylanica","L.",425,575,"NE"
"Lepidium pinnatifidum Ledeb.","Lepidium pinnatifidum","Ledeb.",750,1750,"NE"
"Boswellia serrata Roxb. ex Colebr.","Boswellia serrata","Roxb.",1050,1150,"NE"
"Thlaspi arvense L.","Thlaspi arvense","L.",1500,3000,"NE"
"Trema orientalis (L.) Bl.","Trema orientale","(L.) Blume",900,1000,"NE"
"Rorippa islandica (Oeder) Borb??????s","Rorippa islandica","(Oeder) Borbás",800,1200,"LC"
"Olimarabidopsis pumila (Stephan) Al-Shehbaz, O'Kane & R.A. Price","Olimarabidopsis pumila","(Stephan ex Willd.) Al-Shehbaz, O'Kane & R.A.Price",0,1700,"NE"
"Cardamine yunnanensis Franch.","Cardamine yunnanensis","Franch.",700,2700,"NE"
"Desideria himalayensis (Cambess.) Al-Shehbaz","Solms-laubachia himalayensis","(Cambess.) J.P.Yue, Al-Shehbaz & H.Sun",1000,5000,"NE"
"Campanula pallida Wall.","Campanula pallida","Wall.",1950,2550,"NE"
"Lonicera hypoleuca Decne.","Lonicera hypoleuca","Decne.",728.5,3471.5,"NE"
"Thlaspi cochleariforme Eichw.","Noccaea cochleariformis","(DC.) Á.Löve & D.Löve",2150,3650,"NE"
"Dontostemon glandulosus (Kar. & Kir.) O.E. Schulz","Dontostemon glandulosus","(Kar. & Kir.) O.E.Schulz",790,4090,"NE"
"Thlaspi andersonii (Hook.f. & Thomson) O.E. Schulz","Noccaea andersonii","(Hook.f. & Thomson) Al-Shehbaz",785,3785,"NE"
"Lepidium sativum L.","Lepidium sativum","L.",1400,1600,"NE"
"Lepidium latifolium L.","Lepidium latifolium","L.",NA,NA,"NE"
"Campanula cana Wall.","Campanula cana","Wall.",1100,2300,"NE"
"Buxus papillosa Schneid.","Buxus papillosa","C.K.Schneid.",900,2100,"NE"
"Nasturtium officinale W.T. Aiton","Nasturtium officinale","W.T.Aiton",1677,1981,"LC"
"Draba altaica (C.A. Mey.) Bunge","Draba altaica","(C.A.Mey.) Bunge",600,4400,"NE"
"Megacarpaea polyandra Benth.","Megacarpaea polyandra","Benth.",1000,3500,"NE"
"Lonicera quinquelocularis Hardw.","Lonicera quinquelocularis","Hardw.",1350,2150,"NE"
"Minuartia biflora (L.) Schinz & Thell.","Cherleria biflora","(L.) A.J.Moore & Dillenb.",NA,NA,"NE"
"Lonicera govaniana Wall. ex DC.","Lonicera caucasica subsp. govaniana","(Wall. ex DC.) H.Hara",NA,NA,"NE"
"Ianhedgea minutiflora (Hook.f. & Thomson) Al-Shehbaz & O'Kane","Ianhedgea minutiflora","(Hook.f. & Thomson) Al-Shehbaz & O'Kane",NA,NA,"NE"
"Cardamine loxostemonoides O.E. Schulz","Cardamine loxostemonoides","O.E.Schulz",1300,4200,"NE"
"Opuntia monacantha (Willd.) Haw.","Opuntia monacanthos","(Willd.) Haw.",793.5,1006.5,"LC"
"Buxus wallichiana Baill.","Buxus wallichiana","Baill.",550,2350,"NE"
"Crambe cordifolia Steven","Crambe cordifolia","Steven",1200,3200,"NE"
"Arabis tibetica Hook.f. & Thomson","Crucihimalaya tibetica","(Hook.f. & Thomson) Al-Shehbaz, D.A.German & M.Koch",1250,3750,"NE"
"Draba gracillima Hook.f. & Thomson","Draba gracillima","Hook.f. & Thomson",850,3850,"NE"
"Campanula latifolia L.","Campanula latifolia","L.",900,2900,"NE"
"Eruca vesicaria (L.) Cav.","Eruca vesicaria","(L.) Cav.",848,1152,"NE"
"Hesperis matronalis L.","Hesperis matronalis","L.",NA,NA,"NE"
"Crucihimalaya himalaica (Edgew.) Al-Shehbaz, O'Kane & R.A. Price","Crucihimalaya himalaica","(Edgew.) Al-Shehbaz, O'Kane & R.A.Price",1450,3050,"NE"
"Noccaea cochlearioides (Hook.f. & Thomson) Al-Shehbaz","Noccaea cochlearioides","(Hook.f. & Thomson) Al-Shehbaz",1600,4200,"NE"
"Sisymbrium irio L.","Sisymbrium irio","L.",1050,1450,"NE"
"Campanula sylvatica Wall.","Campanula sylvatica","Wall.",900,2100,"NE"
"Crateva adansonii DC.","Crateva adansonii","DC.",300,700,"LC"
"Cardamine hirsuta L.","Cardamine hirsuta","L.",1400,1800,"NE"
"Descurainia sophia (L.) Webb ex Prantl","Descurainia sophia","(L.) Webb ex Prantl",2085,2485,"NE"
"Trigonotis rotundifolia (Wall. ex G. Don) Benth. ex C. B. Cl.","Trigonotis rotundifolia","(A.DC.) Benth. ex C.B.Clarke",2620,3020,"NE"
"Neurotropis platycarpa (Fisch. & C.A. Mey.) F.K. Mey.","Noccaea platycarpa","(Fisch., C.A.Mey. & N.Busch) Al-Shehbaz",100,1800,"NE"
"Litwinowia tenuissima (Pall.) Woronow ex Pavlov","Litwinowia tenuissima","(Pall.) Woronow ex Pavlov",NA,NA,"NE"
"Lepidium virginicum L.","Lepidium virginicum","L.",1050,1450,"NE"
"Braya humilis (C.A. Mey.) B.L. Rob.","Braya humilis","(C.A.Mey.) B.L.Rob.",1165,3865,"NE"
"Campanula wattiana B.K.Nayar & Babu","Campanula wattiana","B.K.Nayar & Babu",500,2500,"NE"
"Lonicera semenovii Regel","Lonicera semenovii","Regel",421,4079,"NE"
"Setulocarya diffusa (Brand) R.R. Mill & D.G. Long","Lasiocaryum munroi","(C.B.Clarke) I.M.Johnst.",310,4110,"NE"
"Pseudomertensia moltkioides (Royle ex Benth.) Kazmi","Decalepidanthus moltkioides","(Benth.) Dickoré & Hilger",0,3900,"NE"
"Mertensia racemosa (Royle) Benth. ex C. B. Cl.","Decalepidanthus racemosus","(Royle ex Benth.) Dickoré & Hilger",750,2750,"NE"
"Crucihimalaya stricta (Cambess.) Al-Shehbaz, O'Kane & R.A. Price","Crucihimalaya stricta","(Cambess.) Al-Shehbaz, O'Kane & R.A.Price",700,2900,"NE"
"Myosotis asiatica (Vestergr.) Schischk. & Serg.","Myosotis asiatica","(Vestergr.) Schischk. & Serg.",1000,3000,"NE"
"Erysimum robustum D. Don","Erysimum robustum","D.Don",350,4550,"NE"
"Draba lanceolata Royle","Draba lanceolata","Royle",NA,NA,"NE"
"Chorispora sabulosa Cambess.","Chorispora sabulosa","Cambess.",557.5,3557.5,"NE"
"Sisymbrium brassiciforme C.A. Mey.","Sisymbrium brassiciforme","C.A.Mey.",250,2250,"NE"
"Cardamine flexuosa With.","Cardamine flexuosa","With.",1900,2100,"NE"
"Draba setosa Royle","Draba setosa","Royle",500,3500,"NE"
"Crucihimalaya mollissima (C.A. Mey.) Al-Shehbaz, O'Kane & R.A. Price","Crucihimalaya mollissima","(C.A.Mey.) Al-Shehbaz, O'Kane & R.A.Price",1057.5,3057.5,"NE"
"Wahlenbergia hirsuta (Edgew.) Tuyn","Wahlenbergia hirsuta","(Edgew.) Tuyn",1100,1500,"NE"
"Sisymbrium officinale (L.) Scop.","Sisymbrium officinale","(L.) Scop.",300,1500,"NE"
"Crucihimalaya wallichii (Hook.f. & Thomson) Al-Shehbaz, O'Kane & R.A. Price","Crucihimalaya wallichii","(Hook.f. & Thomson) Al-Shehbaz, O'Kane & R.A.Price",788,2312,"NE"
"Heliotropium ellipticum Ledeb.","Heliotropium ellipticum","Ledeb.",200,600,"NE"
"Sisymbrium loeselii L.","Sisymbrium loeselii","L.",650,2350,"NE"
"Campanula aristata Wall.","Campanula aristata","Wall.",988.5,3888.5,"NE"
"Barbarea intermedia Boreau","Barbarea intermedia","Boreau",832.5,3432.5,"NE"
"Myosotis refracta Boiss.","Myosotis refracta","Boiss.",NA,NA,"NE"
"Draba oreades Schrenk","Draba oreades","Schrenk",1100,4900,"NE"
"Braya rosea (Turcz.) Bunge","Braya rosea","Bunge",190,4690,"NE"
"Asperugo procumbens L.","Asperugo procumbens","L.",1400,3100,"NE"
"Arabis bijuga G. Watt","Arabis bijuga","Watt",300,2300,"NE"
"Microula pustulosa (C. B. Cl.) Duthie","Microula pustulosa","(C.B.Clarke) Duthie",810,4610,"NE"
"Brassica juncea (L.) Czern.","Brassica juncea","(L.) Czern.",850,1150,"NE"
"Cynoglossum microglochin Benth.","Cynoglossum microglochin","Benth.",650,3150,"NE"
"Erophila verna NA","Draba verna","L.",200,1900,NA
"Onosma hispidum Wall. ex G. Don","Onosma setosa","Ledeb.",672.5,2372.5,"NE"
"Onosma hispidum Wall. ex G. Don","Onosma hispida","Wall. ex G.Don",672.5,2372.5,"NE"
"Draba stenocarpa Hook.f. & Thomson","Draba stenocarpa","Hook.f. & Thomson",0,3180,"NE"
"Hackelia uncinatum (Benth.) C. E. C. Fischer","Hackelia uncinata","(Royle ex Benth.) C.E.C.Fisch.",750,3450,"NE"
"Draba glomerata Royle","Draba glomerata","Royle",0,5700,"NE"
"Brassica nigra (L.) W.D.J. Koch","Rhamphospermum nigrum","(L.) Al-Shehbaz",1422.5,1522.5,"NE"
"Brassica rapa L.","Brassica rapa","L.",1700,2100,"NE"
"Brassica napus L.","Brassica napus","L.",650,1150,"NE"
"Sarcococca pruniformis Lindl.","Sarcococca coriacea","(Hook.) Sweet",1450,2050,"NE"
"Lepidium apetalum Willd.","Lepidium apetalum","Willd.",1700,2400,"NE"
"Lindelofia longiflora (Benth.) Baill.","Lindelofia longiflora","(DC.) Baill.",900,3700,"NE"
"Lithospermum officinale L.","Lithospermum officinale","L.",650,2350,"NE"
"Buglossoides arvensis (L.) I. M. Johnst.","Buglossoides arvensis","(L.) I.M.Johnst.",950,1950,"NE"
"Erysimum hieraciifolium L.","Erysimum odoratum","Ehrh.",1334,2934,"NE"
"Jacaranda mimosifolia D. Don","Jacaranda mimosifolia","D.Don",500,700,"VU"
"Aphragmus oxycarpus (Hook.f. & Thomson) Jafri","Aphragmus oxycarpus","(Hook.f. & Thomson) Jafri",1250,4550,"NE"
"Rochelia rectipes Stocks","Rochelia rectipes","Stocks",NA,NA,"NE"
"Capsella bursa-pastoris (L.) Medik.","Capsella bursa-pastoris","(L.) Medik.",2050,2450,"NE"
"Onosma hypoleucum I. M. Johnst.","Onosma hypoleuca","I.M.Johnst.",NA,NA,"NE"
"Stereospermum chelonoides (L. fil.) DC.","Stereospermum chelonoides","(L.f.) DC.",675,825,"NE"
"Incarvillea emodi (Lindl.) Chatterjee","Incarvillea emodi","(Royle ex Lindl.) Chatterjee",1175,1575,"NE"
"Brassica oleracea L.","Brassica oleracea","L.",NA,NA,"DD"
"Cordia sinensis Lam.","Cordia sinensis","Lam.",300,700,"LC"
"Rorippa indica (L.) Hiern","Rorippa indica","(L.) Hiern",2200,2300,"NE"
"Cynoglossum wallichii G. Don","Cynoglossum wallichii","G.Don",1890,2290,"NE"
"Malcolmia africana (L.) R. Br.","Strigosella africana","(L.) Botsch.",700,1200,"NE"
"Christolea crassifolia Cambess.","Christolea crassifolia","Cambess.",107.5,4007.5,"NE"
"Arabidopsis thaliana (L.) Heynh.","Arabidopsis thaliana","(L.) Heynh.",1800,2200,"NE"
"Arabis nova Vill.","Arabis nova","Vill.",400,2100,"NE"
"Buglossoides tenuiflora (L. fil.) I. M. Johnst.","Buglossoides tenuiflora","(L.f.) I.M.Johnst.",350,2150,"NE"
"Alnus nitida (Spach) Endl.","Alnus nitida","(Spach) Endl.",1000,2000,"LC"
"Trichodesma zeylanicum (Burm. fil.) R. Br.","Trichodesma zeylanicum","(Burm.f.) R.Br.",0,100,"NE"
"Alliaria petiolata (M.Bieb.) Cavara & Grande","Alliaria petiolata","(M.Bieb.) Cavara & Grande",788,2312,"NE"
"Isatis tinctoria L.","Isatis tinctoria","L.",NA,NA,"NE"
"Arabis amplexicaulis Edgew.","Arabis amplexicaulis","Edgew.",1250,2250,"NE"
"Impatiens tingens Edgew.","Impatiens racemosa","DC.",NA,NA,"NE"
"Berberis jaeschkeana C. K. Schneid.","Berberis jaeschkeana","C.K.Schneid.",650,3350,"NE"
"Desideria stewartii (T. Anderson) Al-Shehbaz","Solms-laubachia stewartii","(T.Anderson) J.P.Yue, Al-Shehbaz & H.Sun",NA,NA,"NE"
"Pseudomertensia echioides (Benth.) Riedl","Decalepidanthus echioides","(Royle ex Benth.) Dickoré & Hilger",450,3150,"NE"
"Lappula barbata (M. Bieb.) Gurke","Lappula barbata","(M.Bieb.) Gürke",1000,4000,"NE"
"Corylus jacquemontii Decne.","Corylus jacquemontii","Decne.",750,2250,"LC"
"Alnus nepalensis D.Don","Alnus nepalensis","D.Don",1600,1700,"LC"
"Lindelofia macrostyla (Bunge) Popov","Lindelofia anchusoides subsp. macrostyla","(Bunge) Kamelin",0,3500,"NE"
"Ehretia laevis Sieber ex DC.","Ehretia aspera","Willd.",550,650,"NE"
"Ehretia laevis Sieber ex DC.","Ehretia cymosa var. cymosa",NA,550,650,"NE"
"Lindelofia stylosa A. Brand","Lindelofia stylosa","(Kar. & Kir.) Brand",500,3500,"NE"
"Dilophia salsa Thomson","Dilophia salsa","Thomson",0,4400,"NE"
"Heliotropium strigosum Willd.","Euploca strigosa","(Willd.) Diane & Hilger",700,800,"NE"
"Cynoglossum lanceolatum Forsk??????l","Cynoglossum lanceolatum","Forssk.",1575,1725,"NE"
"Cardamine macrophylla Willd.","Cardamine macrophylla","Willd.",2000,2500,"NE"
"Rochelia cardiosepala Bunge","Rochelia cardiosepala","Bunge",NA,NA,"NE"
"Lepidium didymum L.","Lepidium didymum","L.",950,1050,"NE"
"Cordia dichotoma G. Forster","Varronia dichotoma","Ruiz & Pav.",800,1000,"LC"
"Cordia dichotoma G. Forster","Cordia dichotoma","G.Forst.",800,1000,"LC"
"Berberis asiatica Roxb. ex DC.","Berberis asiatica","Roxb. ex DC.",1250,1750,"NE"
"Betula utilis D.Don","Betula utilis","D.Don",900,3400,"LC"
"Ehretia acuminata (DC.) R. Br.","Ehretia acuminata","R.Br.",950,1050,"LC"
"Nandina domestica Thunb.","Nandina domestica","Thunb.",450,550,"NE"
"Betula alnoides Buch.-Ham. ex D.Don","Betula alnoides","Buch.-Ham. ex D.Don",1550,1650,"LC"
"Barbarea vulgaris (L.) W.T. Aiton","Barbarea vulgaris","W.T.Aiton",1350,3150,"NE"
"Polygonatum graminifolium Hook.","Polygonatum graminifolium","Hook.",700,3100,"NE"
"Kigelia africana (Lam.) Benth.","Kigelia africana","(Lam.) Benth.",400,800,"LC"
"Lappula microcarpa (Ledeb.) G???_rke","Lappula microcarpa","(Ledeb.) Gürke",250,3750,NA
"Trichodesma indicum (L.) R. Br.","Trichodesma indicum","(L.) Sm.",1090,1290,"NE"
"Arnebia guttata Bunge","Arnebia guttata","Bunge",NA,NA,"NE"
"Arnebia euchroma (Royle) I. M. Johnst.","Arnebia euchroma","(Royle ex Benth.) I.M.Johnst.",550,3950,"NE"
"Impatiens edgeworthii Hook. fil.","Impatiens edgeworthii","Hook.f.",650,2350,"NE"
"Oroxylum indicum (L.) Kurz","Oroxylum indicum","(L.) Kurz",662.5,862.5,"NE"
"Impatiens thomsonii Hook. f.","Impatiens sodenii","Engl. & Warb.",1005,2805,"NE"
"Impatiens thomsonii Hook. f.","Impatiens thomsonii","Hook.f.",1005,2805,"NE"
"Tecoma stans (L.) Juss. ex Kunth","Tecoma stans","(L.) Juss. ex Kunth",500,700,"LC"
"Solenanthus circinnatus Ledeb.","Solenanthus circinnatus","Ledeb.",720,2420,"NE"
"Millingtonia hortensis L. fil.","Millingtonia hortensis","L.f.",NA,NA,"NE"
"Berberis ceratophylla G. Don","Berberis aristata","DC.",1100,2900,"NE"
"Eritrichium nanum (L.) Schrad. ex Gaudin","Eritrichium nanum","(L.) Gaudin",750,3750,"NE"
"Berberis chitria Buch.-Ham. ex Lindl.","Berberis chitria","Buch.-Ham. ex Lindl.",1150,2650,"NE"
"Chorispora tenella (Pall.) DC.","Chorispora tenella","(Pall.) DC.",0,3020,"NE"
"Cardamine impatiens L.","Cardamine impatiens","L.",1750,2250,"NE"
"Eritrichium canum (Benth.) Kitamura","Eritrichium canum","(Benth.) Kitam.",1200,4000,"NE"
"Impatiens amplexicaulis Edgew.","Impatiens amplexicaulis","Edgew.",850,2850,"NE"
"Carpinus faginea Lindl.","Carpinus faginea","Lindl.",740.5,1959.5,"DD"
"Begonia picta Sm.","Begonia picta","Sm.",1300,1700,"NE"
"Betula pendula Roth","Betula pendula","Roth",NA,NA,"LC"
"Remusatia hookeriana Schott","Remusatia hookeriana","Schott",1000,1800,"NE"
"Arnebia benthamii (Wall. ex G. Don) L M. Johnston","Arnebia benthamii","(Wall. ex G.Don) I.M.Johnst.",1100,3900,"NE"
"Mahonia borealis Takeda","Berberis napaulensis var. napaulensis",NA,550,2150,"NE"
"Heliotropium pycnophyllum Phil.","Heliotropium pycnophyllum","Phil.",NA,NA,"NE"
"Berberis kunawurensis Royle","Berberis kunawurensis","Royle",NA,NA,"NE"
"Berberis edgeworthiana C. K. Schneid.","Berberis kunawurensis var. kunawurensis",NA,450,3150,"NE"
"Berberis lycium Royle","Berberis lycium","Royle",1250,1750,"LC"
"Eritrichium thomsonii (C. B. Cl.) I. M. Johnst.","Eritrichium thomsonii","(C.B.Clarke) I.M.Johnst.",200,3800,"NE"
