"verbatimScientificName","taxon_name","taxon_authors","LL","UL","IUCN"
"Arceuthobium oxycedri (DC.) MB.","Arceuthobium oxycedri","(DC.) M.Bieb.",550,3550,"LC"
"Solanum torvum Sw.","Solanum torvum","Sw.",525,725,"NE"
"Scrophularia edgeworthii Benth.","Scrophularia edgeworthii","Benth.",500,2500,"NE"
"Glycosmis pentaphylla (Retz.) Correa","Glycosmis pentaphylla","(Retz.) DC.",650,750,"NE"
"Salix karelinii Turcz. ex Stschegl.","Salix karelinii","Turcz. ex Stschegl.",1200,3300,"NE"
"Verbascum thapsus L.","Verbascum thapsus","L.",1800,2200,"NE"
"Acer saccharum Marshall","Acer saccharum","Marshall",NA,NA,"LC"
"Smilax elegans Wall. ex Kunth","Smilax elegans","Wall. ex Kunth",1176.5,2176.5,"NE"
"Salix sericocarpa Andersson","Salix sericocarpa","Andersson",1350,3750,"LC"
"Smilax aspera L.","Smilax aspera","L.",1480,1720,"NE"
"Lycopersicon esculentum Mill.","Solanum lycopersicum","L.",1125,1375,"NE"
"Typha angustifolia L.","Typha angustifolia","L.",900,1100,"LC"
"Acer oblongum Wall. ex DC.","Acer oblongum","Wall. ex DC.",1190,1310,"LC"
"Saxifraga hirculus L.","Saxifraga hirculus","L.",NA,NA,"LC"
"Saxifraga odontophylla Wall.","Micranthes odontoloma","(Piper) A.Heller",NA,NA,"NE"
"Saxifraga odontophylla Wall.","Saxifraga asarifolia","Sternb.",NA,NA,"NE"
"Saxifraga odontophylla Wall.","Saxifraga sibirica","L.",NA,NA,"NE"
"Schleichera oleosa (Lour.) Oken","Schleichera oleosa","(Lour.) Oken",1150,1350,"LC"
"Madhuca longifolia (J.Koenig ex L.) J.F.Macbr.","Madhuca longifolia","(J.Koenig ex L.) J.F.Macbr.",425,575,"NE"
"Saxifraga brunonis Wall. ex Ser.","Saxifraga brunonis","Wall. ex Ser.",1733,3867,"NE"
"Solanum surattense Burm. f.","Solanum virginianum","L.",550,950,"NE"
"Buddleja madagascariensis Lam.","Buddleja madagascariensis","Lam.",500,1500,"LC"
"Osyris lanceolata Hochst. & Steud.","Osyris lanceolata","Hochst. & Steud.",1100,1500,"LC"
"Scrophularia suffruticosa Pennell","Scrophularia suffruticosa","Pennell",NA,NA,"NE"
"Cyphomandra betacea (Cav.) Sendtn.","Solanum betaceum","Cav.",550,1350,"NE"
"Datura stramonium L.","Datura stramonium","L.",1400,1600,"NE"
"Murraya koenigii (L.) Spreng.","Bergera koenigii","L.",950,1050,"LC"
"Saxifraga sibirica L.","Saxifraga sibirica","L.",1000,4000,"NE"
"Saxifraga jacquemontiana Decne.","Saxifraga jacquemontiana","Decne.",1500,4500,"NE"
"Houttuynia cordata Thunb.","Houttuynia cordata","Thunb.",750,1750,"NE"
"Acer negundo L.","Acer negundo","L.",NA,NA,"LC"
"Salix alba L.","Salix alba","L.",400,1600,"LC"
"Spermacoce articularis L.f.","Spermacoce articularis","L.f.",534.5,684.5,"NE"
"Salix lindleyana Wall. ex Andersson","Salix lindleyana","Wall. ex Andersson",1000,4000,"NE"
"Thesium himalense Royle","Thesium himalense","Royle ex Edgew.",1600,2900,"NE"
"Dodonaea viscosa Jacq.","Dodonaea viscosa","Jacq.",800,1200,"LC"
"Salix acmophylla Boiss.","Salix acmophylla","Boiss.",671.5,1128.5,"LC"
"Solanum pseudocapsicum L.","Solanum pseudocapsicum","L.",1200,1600,"NE"
"Bergenia ciliata (Haw.) Sternb.","Bergenia ciliata","(Haw.) Sternb.",1550,2450,"LC"
"Scrophularia scabiosifolia Benth.","Scrophularia scabiosifolia","Benth.",500,3500,"NE"
"Bergenia stracheyi (Hook. fil. & Thomson) Engl.","Bergenia stracheyi","(Hook.f. & Thomson) Engl.",1250,3250,"NE"
"Saxifraga nigroglandulifera Balakr.","Saxifraga nigroglandulifera","N.P.Balakr.",350,4550,"NE"
"Viscum album L.","Viscum album","L.",1050,1650,"NE"
"Leptodermis virgata Edgew. ex Hook.f.","Leptodermis virgata","Edgew. ex Hook.f.",400,1600,"NE"
"Salix babylonica L.","Salix babylonica","L.",1700,2100,"DD"
"Citrus medica L.","Citrus medica","L.",697.5,982.5,"LC"
"Saxifraga moorcroftiana Wall.","Saxifraga moorcroftiana","(Ser.) Wall. ex Sternb.",1250,3650,"NE"
"Saxifraga pallida Wall.","Micranthes pallida","(Wall. ex Ser.) Losinsk.",900,3900,"NE"
"Saxifraga fimbriata Wall.","Saxifraga wallichiana","Sternb.",0,3506,"NE"
"Saxifraga fimbriata Wall.","Saxifraga eschholzii","Sternb.",0,3506,"NE"
"Cardiospermum halicacabum L.","Cardiospermum halicacabum","L.",1025,1175,"LC"
"Buddleja asiatica Lour.","Buddleja asiatica","Lour.",1350,1450,"LC"
"Sapindus mukorossi Gaertn.","Sapindus mukorossi","Gaertn.",948,1252,"LC"
"Neanotis hirsuta (L.f.) W.H.Lewis","Neanotis hirsuta","(L.f.) W.H.Lewis",1050,1350,"NE"
"Galium rotundifolium L.","Galium rotundifolium","L.",250,1750,"NE"
"Scrophularia polyantha Royle ex Benth.","Scrophularia polyantha","Royle ex Benth.",100,1800,"NE"
"Citrus reticulata Blanco","Citrus × aurantium f. deliciosa","(Ten.) M.Hiroe",1050,1450,"NE"
"Cestrum nocturnum L.","Cestrum nocturnum","L.",700,1100,"LC"
"Kohautia coccinea Royle","Kohautia coccinea","Royle",1150,1550,"NE"
"Galium aparine L.","Galium aparine","L.",1800,2200,"NE"
"Saxifraga cernua L.","Saxifraga cernua","L.",810,3610,"NE"
"Populus ciliata Wall. ex Royle","Populus ciliata","Wall. ex Royle",1750,1850,"LC"
"Viscum articulatum Burm. fil.","Viscum articulatum","Burm.f.",1043,1243,"NE"
"Viscum articulatum Burm. fil.","Viscum coloratum","(Kom.) Nakai",1043,1243,"NE"
"Salix disperma Roxb. ex D. Don","Salix disperma","Roxb. ex D.Don",1000,2500,"NE"
"Sabia campanulata Wall.","Sabia campanulata","Wall.",1300,2100,"NE"
"Zanthoxylum armatum DC.","Zanthoxylum armatum","DC.",1625,1875,"LC"
"Oldenlandia ovatifolia (Cav.) DC.","Debia ovatifolia","(Cav.) Neupane & N.Wikstr.",800,1000,"NE"
"Santalum album L.","Santalum album","L.",250,650,"VU"
"Salix acutifolia Willd.","Salix acutifolia","Willd.",1250,2250,"LC"
"Mimusops elengi L.","Mimusops elengi","L.",410,590,"LC"
"Litchi chinensis Sonn.","Litchi chinensis","Sonn.",450,550,"NE"
"Acer acuminatum Wall. ex D. Don","Acer acuminatum","Wall. ex D.Don",1000,2500,"LC"
"Saxifraga flagellaris Sternb. & Willd.","Saxifraga flagellaris","Willd.",841,4341,"NE"
"Xylosma longifolium Clos","Xylosma longifolia","Clos",750,1050,"LC"
"Salix tetrasperma Roxb.","Salix tetrasperma","Roxb.",1450,1550,"LC"
"Skimmia laureola (DC.) Siebold & Zucc. ex Walp.","Skimmia laureola","(DC.) Decne.",900,2600,"NE"
"Meliosma dilleniifolia (Wall. ex Wight & Am.) Walp.","Meliosma dilleniifolia","(Wall. ex Wight & Arn.) Walp.",750,2250,"NE"
"Citrus limon (L.) Burm. fil.","Citrus × limon","(L.) Osbeck",700,900,"NE"
"Saxifraga ciliata Royle","Bergenia ciliata","(Haw.) Sternb.",550,2950,"LC"
"Schisandra grandiflora (Wall.) Hook. f. & Thomson","Schisandra grandiflora","(Wall.) Hook.f. & Thomson",1250,2850,"NE"
"Salix fruticulosa S.Lacroix",NA,NA,500,3500,"NE"
"Galium acutum Edgew.","Galium acutum","Edgew.",1898,2202,"NE"
"Arceuthobium minutissimum Hook. fil.","Arceuthobium minutissimum","Hook.f.",900,3100,"NE"
"Salix obscura Andersson","Salix obscura","Andersson",1650,1950,"NE"
"Citrus aurantiifolia (Christm.) Swingle","Citrus × aurantiifolia","(Christm.) Swingle",700,1100,"NE"
"Citrus maxima (Burm.) Merr.","Citrus maxima","(Burm.) Merr.",400,800,"LC"
"Acer cappadocicum Gled.","Acer cappadocicum","Gled.",750,2250,"LC"
"Neanotis calycina (Wall. ex Hook.f.) W.H.Lewis","Neanotis calycina","(Wall. ex Hook.f.) W.H.Lewis",1300,1900,"NE"
"Naringi crenulata (Roxb.) D.H. Nicolson","Naringi crenulata","(Roxb.) Nicolson",300,700,"NE"
"Neohymenopogon parasiticus (Wall.) Bennet","Neohymenopogon parasiticus","(Wall.) Bennet",950,1850,"NE"
"Sorbus foliolosa (Wall.) Spach","Sorbus foliolosa","(Wall.) Spach",1300,2800,"LC"
"Populus pamirica (C.-Y. Yang) Kom.","Populus macrocarpa","(Schrenk) Pavlov & Lipsch.",350,2150,"NE"
"Flacourtia jangomas (Lour.) Raeusch.","Flacourtia jangomas","(Lour.) Raeusch.",550,650,"NE"
"Rubus macilentus Cambess.","Rubus macilentus","Cambess.",1150,2350,"NE"
"Rubus dasycoccus W.C.R.Watson",NA,NA,1050,1450,"NE"
"Rubia manjith Roxb.","Rubia manjith","Roxb.",1178,2328,"NE"
"Argostemma verticillatum Wall.","Argostemma verticillatum","Wall.",900,1500,"NE"
"Populus nigra L.","Populus nigra","L.",100,1800,"DD"
"Acer pentapomicum Stewart ex Brand.","Acer pentapomicum","J.L.Stewart",250,2250,"LC"
"Spiraea gracilis Maxim.","Spiraea gracilis","Maxim.",200,3200,"NE"
"Pavetta indica L.","Pavetta indica","L.",712,812,"NE"
"Oldenlandia corymbosa L.","Oldenlandia corymbosa","L.",1200,1400,"NE"
"Spermadictyon suaveolens Roxb.","Spermadictyon suaveolens","Roxb.",1000,1400,"NE"
"Acer caesium Wall. ex Brandis","Acer caesium","Wall. ex Brandis",609.5,2590.5,"LC"
"Bergenia pacumbis (Buch.-Ham. ex D. Don) C.Y. Wu & J.T. Pan","Bergenia pacumbis","(Buch.-Ham. ex D.Don) C.Y.Wu & J.T.Pan",1200,2500,"LC"
"Casearia graveolens Dalzell","Casearia graveolens","Dalzell",925,1075,"NE"
"Salix fragilis L.","Salix × fragilis","L.",NA,NA,"NE"
"Populus alba L.","Populus alba","L.",200,1900,"LC"
"Hymenodictyon orixense (Roxb.) Mabb.","Hymenodictyon orixense","(Roxb.) Mabb.",800,900,"NE"
"Salix flabellaris Andersson","Salix flabellaris","Andersson",1000,4000,"NE"
"Oldenlandia pumila (L.f.) DC.","Oldenlandia pumila","(L.f.) DC.",0,950,"NE"
"Casearia vareca Roxb.","Casearia vareca","Roxb.",550,950,"NE"
