"given_name","powo_taxa","powo_author","powo_dist","Champion1968","Choudhary2007","Choudhary2012","eFI2022","FOI2022","Gupta1998","Radha2019","Subramani2014","Thakur2021a"
"Caltha palustris","Caltha alba","Cambess.","Native",0,0,0,1,0,0,0,0,0
"Campanula argyrotricha","Campanula argyrotricha","Wall. ex A.DC.","Native",0,0,0,0,0,1,0,1,0
"Campanula latifolia","Campanula latifolia","L.","Native",0,0,0,0,0,0,0,1,0
"Campanula pallida","Campanula pallida","Wall.","Native",0,0,0,0,0,1,0,0,0
"Cannabis sativa","Cannabis sativa","L.","Introduced",0,0,1,0,0,0,1,0,0
"Caragana brevispina","Caragana brevispina","Benth.","Native",0,0,0,0,0,0,0,1,0
"Cardamine macrophylla","Cardamine macrophylla","Willd.","Native",0,0,0,0,0,0,0,1,0
"Cardiocrinum giganteum","Cardiocrinum giganteum","(Wall.) Makino","Native",0,0,0,0,0,0,0,1,0
"Carex filicina","Carex filicina","Nees","Native",0,0,0,0,0,0,0,1,0
"Carex haematostoma","Carex haematostoma","Nees","Native",0,0,0,0,0,0,0,1,0
"Carex hebecarpa","Carex hebecarpa","C.A.Mey.","Native",0,0,0,0,0,0,0,1,0
"Carex nivalis","Carex nivalis","Boott","Native",0,0,0,0,0,0,0,1,0
"Carex norvegica","Carex norvegica","Retz.","Native",0,0,0,0,0,0,0,1,0
"Carex obscura","Carex obscura","Nees","Native",0,0,0,0,0,0,0,1,0
"Carex remota","Carex remota","L.","Native",0,0,0,0,0,0,0,1,0
"Carex wallichiana","Carex wallichiana","Spreng.","Native",0,0,0,0,0,0,0,1,0
"Carpesium cernuum","Carpesium cernuum","L.","Native",0,0,0,0,0,0,0,1,0
"Cassiope fastigiata","Cassiope fastigiata","(Wall.) D.Don","Native",0,0,0,0,0,1,0,1,0
"Cautleya spicata","Cautleya spicata","(Sm.) Baker","Native",0,0,1,0,0,0,0,0,0
"Cedrela serrata","Toona sinensis","(A.Juss.) M.Roem.",NA,0,0,1,0,0,0,0,0,0
"Cedrela toona","Toona ciliata","M.Roem.",NA,0,0,1,0,0,0,0,0,0
"Cedrus deodara","Cedrus deodara","(Roxb. ex D.Don) G.Don","Native",1,1,1,0,0,1,0,0,0
"Cephalanthera longifolia","Cephalanthera longifolia","(L.) Fritsch","Native",0,0,0,1,0,0,0,1,0
"Cephalorrhynchus macrorhizus","Melanoseris macrorhiza","(Royle) N.Kilian","Native",0,0,0,0,0,0,0,1,0
"Cerasus cerasoides","Prunus cerasoides","Buch.-Ham. ex D.Don","Native",0,0,0,0,0,0,0,1,0
"Chaerophyllum reflexum","Chaerophyllum reflexum","Lindl.","Native",0,0,0,0,0,0,0,1,0
"Chaerophyllum villosum","Chaerophyllum villosum","Wall. ex DC.","Native",0,0,0,0,0,0,0,1,0
"Chamaecrista nomame","Chamaecrista nomame","(Makino) H.Ohashi","Native",0,0,0,0,0,0,0,1,0
"Chenopodium album","Chenopodium album","L.","Native",0,0,0,0,0,0,1,0,0
"Chionanthus ramiflorus","Chionanthus ramiflorus","Roxb.","Native",0,0,0,0,0,0,0,1,0
"Chirita bifolia","Henckelia bifolia","(D.Don) A.Dietr.","Native",0,0,1,0,0,0,0,1,0
"Chrysopogon serrulatus","Chrysopogon serrulatus","Trin.","Native",0,0,0,0,0,0,0,1,0
"Cicerbita macrorhiza","Melanoseris macrorhiza","(Royle) N.Kilian","Native",0,0,0,0,0,1,0,0,0
"Cinnamomum tamala","Cinnamomum tamala","(Buch.-Ham.) T.Nees & C.H.Eberm.","Native",0,0,1,0,0,0,0,0,0
"Circaea alpina","Circaea alpina","L.","Native",0,0,0,0,0,0,0,1,0
"Cirsium falconeri","Cirsium falconeri","(Hook.f.) Petr.","Native",0,0,1,0,0,0,0,0,0
"Cissampelos pareira","Cissampelos pareira","L.","Native",0,0,1,0,0,0,0,0,0
"Clematis barbellata","Clematis barbellata","Edgew.","Native",1,0,0,0,0,0,0,1,0
"Clematis buchananiana","Clematis buchananiana","DC.","Native",0,0,0,0,0,1,0,0,0
"Clematis montana","Clematis montana","Buch.-Ham. ex DC.","Native",1,0,0,0,0,1,0,0,0
"Clintonia udensis","Clintonia udensis","Trautv. & C.A.Mey.","Native",0,0,0,0,0,0,0,1,0
"Cocculus laurifolius","Cocculus laurifolius","DC.","Native",0,0,0,1,0,0,0,0,0
"Codonopsis viridis","Codonopsis viridis","Wall.","Native",0,0,1,0,0,0,0,0,0
"Colebrookea oppositifolia","Colebrookea oppositifolia","Sm.","Native",0,0,0,0,0,1,0,0,0
"Comastoma tenellum","Comastoma tenellum","(Rottb.) Toyok.","Native",0,0,0,0,0,0,0,1,0
"Commelina benghalensis","Commelina benghalensis","L.","Native",0,0,1,0,0,0,1,0,0
"Conyza aegyptiaca","Nidorella aegyptiaca","(L.) J.C.Manning & Goldblatt","Native",0,0,1,0,0,0,0,0,0
"Cordia myxa","Cordia myxa","L.",NA,0,0,1,0,0,0,0,0,0
"Coriaria napalensis","Coriaria napalensis","Wall.","Native",0,0,1,1,0,0,0,0,0
"Cornus macrophylla","Cornus macrophylla","Wall.","Native",0,0,0,0,0,0,0,1,0
"Cortusa brotheri","Primula matthioli","(L.) V.A.Richt.","Native",0,0,0,0,0,0,0,1,0
"Corydalis govaniana","Corydalis govaniana","Wall.","Native",0,0,0,1,0,1,0,0,0
"Corydalis thyrsiflora","Corydalis thyrsiflora","Prain","Native",0,0,1,0,0,0,0,0,0
"Corydalis vaginans","Corydalis vaginans","Royle","Native",0,0,0,0,0,0,0,1,0
"Corylus jacquemontii","Corylus jacquemontii","Decne.","Native",0,0,0,0,0,0,0,1,0
"Cotoneaster acuminatus","Cotoneaster acuminatus","Lindl.","Native",1,0,0,0,0,0,0,0,0
"Cotoneaster bacillaris","Cotoneaster affinis","Lindl.","Native",1,0,0,0,0,0,0,1,0
"Cotoneaster brandisii","Cotoneaster integrifolius","(Roxb.) G.Klotz","Native",0,0,0,1,0,0,0,0,0
"Cotoneaster hedegaardii","Cotoneaster hedegaardii","J.Fryer & B.Hylmö","Native",0,0,0,1,0,0,0,0,0
"Cotoneaster integrifolius","Cotoneaster integrifolius","(Roxb.) G.Klotz","Native",0,0,0,0,1,0,0,0,0
"Cotoneaster marginatus","Cotoneaster integrifolius","(Roxb.) G.Klotz","Native",0,0,0,1,0,0,0,0,0
"Cotoneaster microphyllus","Cotoneaster microphyllus","Wall. ex Lindl.","Native",0,1,1,0,0,1,0,0,0
"Cotoneaster roseus","Cotoneaster roseus","Edgew.","Native",0,0,0,0,0,0,0,1,0
"Cotoneaster thymifolius","Cotoneaster integrifolius","(Roxb.) G.Klotz","Native",0,0,0,1,0,0,0,0,0
"Craniotome versicolor","Craniotome furcata","(Link) Kuntze","Native",0,0,0,0,0,1,0,0,0
"Crucihimalaya stricta","Crucihimalaya stricta","(Cambess.) Al-Shehbaz, O'Kane & R.A.Price","Native",0,0,0,0,0,0,0,1,0
"Cryptolepis buchananii","Cryptolepis buchananii","R.Br. ex Roem. & Schult.","Native",0,0,0,1,0,0,0,0,0
"Cupressus torulosa","Cupressus torulosa","D.Don ex Lamb.","Native",0,0,1,0,0,0,0,0,0
"Cyathocline purpurea","Cyathocline purpurea","(Buch.-Ham. ex D.Don) Kuntze","Native",0,0,0,1,0,0,0,0,0
"Cyathula capitata","Cyathula capitata","Moq.","Native",0,0,0,0,0,1,0,0,0
"Cyathula tomentosa","Cyathula tomentosa","(Schult.) Moq.","Native",0,0,0,0,0,1,0,0,0
"Cynodon dactylon","Cynodon dactylon","(L.) Pers.","Native",0,0,0,0,0,0,0,1,0
"Cynoglossum amabile","Cynoglossum amabile","Stapf & J.R.Drumm.",NA,0,0,1,0,0,0,0,0,0
"Cynoglossum glochidiatum","Cynoglossum wallichii","G.Don","Native",0,0,0,0,0,1,0,0,0
"Cynoglossum microglochin","Cynoglossum microglochin","Benth.","Native",0,0,0,0,0,0,0,1,0
"Cynoglossum officinale","Cynoglossum officinale","L.",NA,0,0,1,0,0,0,0,0,0
"Cynoglossum zeylanicum","Cynoglossum zeylanicum","(Sw. ex Lehm.) Thunb. ex Brand","Native",0,0,0,0,0,1,0,0,0
"Cyperus niveus","Cyperus niveus","Retz.","Native",0,0,0,0,0,0,0,1,0
"Cypripedium cordigerum","Cypripedium cordigerum","D.Don","Native",0,0,0,0,0,0,0,1,0
"Cypripedium himalaicum","Cypripedium himalaicum","Rolfe","Native",0,0,0,0,0,0,0,1,0
"Dactylorhiza hatagirea","Dactylorhiza hatagirea","(D.Don) Soó","Native",0,1,0,0,0,0,0,1,0
"Daphne cannabina","Daphne papyracea","Wall. ex G.Don","Native",0,0,0,0,0,1,0,0,0
