"powo_taxa","powo_author","powo_dist","Morni","Chail","Churdhar"
"Craniotome furcata","(Link) Kuntze","Native",0,1,1
"Crateva magna","(Lour.) DC.","Native",1,0,0
"Crepidium acuminatum","(D.Don) Szlach.","Native",0,1,1
"Crotalaria albida","B.Heyne ex Roth","Native",1,0,0
"Crotalaria cytisoides","Roxb. ex DC.","Native",0,1,0
"Crotalaria hirta","Willd.","Native",1,0,0
"Crotalaria juncea","L.","Native",1,0,0
"Crotalaria medicaginea","Lam.","Native",1,0,0
"Crotalaria prostrata","Rottler ex Willd.","Native",1,0,0
"Crotalaria spectabilis","Roth","Native",1,0,0
"Croton bonplandianus","Baill.","Introduced",1,0,0
"Crucihimalaya stricta","(Cambess.) Al-Shehbaz, O'Kane & R.A.Price","Native",0,0,1
"Cryptolepis buchananii","R.Br. ex Roem. & Schult.","Native",1,0,1
"Cryptostegia grandiflora","Roxb. ex R.Br.","Introduced",1,0,0
"Cucumis maderaspatanus","L.","Native",1,0,0
"Cucumis sativus","L.","Native",1,0,0
"Cupressus torulosa","D.Don ex Lamb.","Native",0,0,1
"Curculigo orchioides","Gaertn.","Native",1,0,0
"Cuscuta campestris","Yunck.","Introduced",0,1,0
"Cuscuta reflexa","Roxb.","Native",1,1,0
"Cyanotis vaga","(Lour.) Schult. & Schult.f.","Native",0,1,0
"Cyanthillium cinereum","(L.) H.Rob.","Native",1,0,0
"Cyathocline purpurea","(Buch.-Ham. ex D.Don) Kuntze","Native",1,0,1
"Cyathula capitata","Moq.","Native",0,0,1
"Cyathula tomentosa","(Schult.) Moq.","Native",0,1,1
"Cyclospermum leptophyllum","(Pers.) Sprague ex Britton & P.Wilson","Introduced",1,0,0
"Cymbalaria muralis","G.Gaertn., B.Mey. & Scherb.","Introduced",0,1,0
"Cymbopogon citratus","(DC.) Stapf","Native",1,0,0
"Cymbopogon martini","(Roxb.) W.Watson","Native",1,0,0
"Cynodon dactylon","(L.) Pers.","Native",1,0,1
"Cynoglossum amabile","Stapf & J.R.Drumm.",NA,0,0,1
"Cynoglossum lanceolatum","Forssk.","Native",1,0,0
"Cynoglossum microglochin","Benth.","Native",0,0,1
"Cynoglossum officinale","L.",NA,0,0,1
"Cynoglossum wallichii","G.Don","Native",0,1,1
"Cynoglossum zeylanicum","(Sw. ex Lehm.) Thunb. ex Brand","Native",1,0,1
"Cyperus compressus","L.","Native",1,0,0
"Cyperus cuspidatus","Kunth","Native",1,0,0
"Cyperus distans","L.f.","Native",1,0,0
"Cyperus dubius","Rottb.","Native",1,0,0
"Cyperus laevigatus","L.","Native",1,0,0
"Cyperus michelianus","(L.) Delile","Native",1,0,0
"Cyperus niveus","Retz.","Native",0,1,1
"Cyperus rotundus","L.","Native",1,1,0
"Cypripedium cordigerum","D.Don","Native",0,0,1
"Cypripedium himalaicum","Rolfe","Native",0,0,1
"Dactyloctenium aegyptium","(L.) Willd.","Native",1,0,0
"Dactylorhiza hatagirea","(D.Don) Soó","Native",0,0,1
"Dalbergia lanceolaria","L.f.","Native",1,0,0
"Dalbergia sissoo","Roxb. ex DC.","Native",1,1,0
"Daphne papyracea","Wall. ex G.Don","Native",0,1,1
"Dasiphora fruticosa","(L.) Rydb.","Native",0,1,1
"Datura innoxia","Mill.","Introduced",1,0,0
"Datura metel","L.","Introduced",1,0,0
"Datura stramonium","L.","Introduced",1,1,0
"Debregeasia longifolia","(Burm.f.) Wedd.","Native",1,0,0
"Debregeasia saeneb","(Forssk.) Hepper & J.R.I.Wood","Native",0,1,0
"Decalepidanthus racemosus","(Royle ex Benth.) Dickoré & Hilger","Native",0,0,1
"Deeringia amaranthoides","(Lam.) Merr.","Native",1,0,0
"Delonix regia","(Bojer ex Hook.) Raf.","Introduced",1,0,0
"Delphinium denudatum","Wall. ex Hook.f. & Thomson","Native",0,0,1
"Delphinium vestitum","Wall. ex Royle","Native",0,0,1
"Dendrocalamus strictus","(Roxb.) Nees","Native",1,0,0
"Dendrophthoe falcata","(L.f.) Ettingsh.","Native",1,0,0
"Desmodiastrum racemosum","(Benth.) A.Pramanik & Thoth.",NA,0,1,0
"Desmodium hookerianum","D.Dietr.",NA,0,1,0
"Deutzia corymbosa","R.Br. ex G.Don","Native",0,1,1
"Deutzia staminea","R.Br. ex Wall.","Native",0,1,1
"Dichanthium annulatum","(Forssk.) Stapf","Native",1,1,0
"Dichrocephala integrifolia","(L.f.) Kuntze","Native",0,0,1
"Dichrostachys cinerea","(L.) Wight & Arn.","Native",1,0,0
"Dicliptera bupleuroides","Nees","Native",1,1,0
"Dicliptera chinensis","(L.) Juss.","Native",1,0,0
"Dicliptera chinensis","(L.) Juss.",NA,0,1,0
"Dicliptera paniculata","(Forssk.) I.Darbysh.","Native",1,1,0
"Dicliptera riparia","Nees",NA,1,0,0
"Dienia cylindrostachya","Lindl.","Native",0,0,1
"Digera muricata","(L.) Mart.","Native",1,0,0
"Digitalis purpurea","L.",NA,0,1,0
"Digitaria abludens","(Roem. & Schult.) Veldkamp","Native",1,0,0
"Digitaria cruciata","(Nees ex Steud.) E.G.Camus & A.Camus","Native",0,0,1
"Digitaria sanguinalis","(L.) Scop.","Native",1,0,0
"Digitaria stricta","Roth","Native",1,0,0
"Dinetus racemosus","(Roxb.) Sweet","Native",1,0,0
"Dioscorea alata","L.","Native",1,0,0
"Dioscorea belophylla","(Prain) Voigt ex Haines","Native",1,0,0
"Dioscorea bulbifera","L.","Native",0,1,0
"Dioscorea deltoidea","Wall. ex Griseb.","Native",0,0,1
"Dioscorea kamoonensis","Kunth","Native",0,1,0
"Dioscorea melanophyma","Prain & Burkill","Native",0,0,1
"Dioscorea pentaphylla","L.","Native",1,0,0
"Dioscorea pubera","Blume","Native",0,1,0
"Diospyros chloroxylon","Roxb.","Native",1,0,0
"Diospyros melanoxylon","Roxb.","Native",1,0,0
"Diospyros montana","Roxb.","Native",1,0,0
"Diospyros montana","Roxb.",NA,0,0,1
"Diplazium esculentum","(Retz.) Sw.","Native",0,1,0
"Diplocyclos palmatus","(L.) C.Jeffrey","Native",1,1,0
"Dipsacus inermis","Wall.","Native",0,0,1
"Disporum cantoniense","(Lour.) Merr.","Native",0,1,1
"Dodonaea viscosa","Jacq.","Native",1,1,0
"Dolomiaea macrocephala","DC. ex Royle","Native",0,0,1
"Drepanostachyum falcatum","(Nees) Keng f.","Native",0,1,1
"Drimia indica","(Roxb.) Jessop","Native",1,0,0
"Drosera lunata","Buch.-Ham. ex DC.","Native",0,1,1
"Drymaria cordata","(L.) Willd. ex Schult.","Introduced",1,0,0
