"powo_taxa","powo_author","powo_dist","Morni","Chail","Churdhar"
"Vallaris solanacea","(Roth ex Roem. & Schult.) Kuntze","Native",1,0,0
"Ventilago denticulata","Willd.","Native",1,0,0
"Verbascum coromandelianum","(Vahl) Hub.-Mor.","Native",1,0,0
"Verbascum thapsus","L.","Native",1,1,1
"Verbena bonariensis","L.","Introduced",0,0,1
"Veronica alpina","L.","Native",0,0,1
"Veronica biloba","Schreb. ex L.","Native",0,0,1
"Veronica laxa","Benth.","Native",0,0,1
"Veronica persica","Poir.","Introduced",0,1,0
"Viburnum coriaceum","Blume","Native",0,1,0
"Viburnum cotinifolium","D.Don","Native",0,1,1
"Viburnum cylindricum","Buch.-Ham. ex D.Don","Native",0,1,0
"Viburnum grandiflorum","Wall. ex DC.","Native",0,0,1
"Viburnum mullaha","Buch.-Ham. ex D.Don","Native",0,1,1
"Viburnum nervosum","D.Don","Native",0,0,1
"Vicatia coniifolia","DC.","Native",0,0,1
"Vicia hirsuta","(L.) Gray","Native",1,1,0
"Vicia lens","(L.) Coss. & Germ.","Native",1,0,0
"Vicia sativa","L.","Native",1,1,0
"Vicia tenera","Benth.","Native",0,0,1
"Vicoa indica","(L.) DC.","Native",1,0,0
"Vigna aconitifolia","(Jacq.) Maréchal","Native",1,0,0
"Vigna unguiculata","(L.) Walp.","Introduced",1,0,0
"Vinca major","L.","Native",0,1,0
"Vincetoxicum hirundinaria","Medik.","Native",0,1,0
"Vincetoxicum indicum","(Burm.f.) Mabb.","Native",1,0,0
"Viola betonicifolia","Sm.","Native",0,1,1
"Viola biflora","L.","Native",0,0,1
"Viola canescens","Wall.","Native",1,1,1
"Viola odorata","L.","Introduced",1,0,0
"Viola pilosa","Blume","Native",1,1,1
"Vitex negundo","L.","Native",1,1,1
"Vitis flexuosa","Thunb.","Native",1,0,0
"Wendlandia heynei","(Schult.) Santapau & Merchant","Native",1,0,0
"Wikstroemia canescens","Meisn.","Native",0,0,1
"Wikstroemia indica","(L.) C.A.Mey.","Native",0,1,0
"Withania somnifera","(L.) Dunal","Native",1,0,0
"Woodfordia fruticosa","(L.) Kurz","Native",1,1,0
"Woodsia elongata","Hook.","Native",0,1,0
"Wrightia arborea","(Dennst.) Mabb.","Native",1,0,0
"Wrightia tinctoria","(Roxb.) R.Br.","Native",1,0,0
"Wulfeniopsis amherstiana","(Benth.) D.Y.Hong","Native",0,0,1
"Xanthium strumarium","L.","Native",1,0,0
"Youngia japonica","(L.) DC.","Native",0,1,0
"Yushania anceps","(Mitford) W.C.Lin","Native",0,1,1
"Zanthoxylum armatum","DC.","Native",1,1,1
"Zea mays","L.","Introduced",1,0,0
"Zeuxine strateumatica","(L.) Schltr.","Native",1,0,0
"Zingiber officinale","Roscoe","Native",1,0,0
"Ziziphus jujuba","Mill.","Introduced",1,1,0
"Ziziphus mauritiana","Lam.","Native",1,0,0
"Ziziphus nummularia","(Burm.f.) Wight & Arn.","Native",1,0,0
"Ziziphus nummularia","(Burm.f.) Wight & Arn.",NA,0,1,0
"Ziziphus oenopolia","(L.) Mill.","Native",1,0,0
"Ziziphus oxyphylla","Edgew.","Native",0,1,0
"Ziziphus rugosa","Lam.","Native",1,0,0
"Ziziphus xylopyrus","(Retz.) Willd.","Native",1,0,0
"Zornia gibbosa","Span.","Native",1,0,0
