given_name,POWOAccepted,POWODist,Champion1968,Choudhary2007,Choudhary2012,eFI2022,FOI2022,Gupta1998,Radha2019,Subramani2014,Thakur2021a
Cotoneaster integrifolius (Roxb.) G.Klotz,Cotoneaster integrifolius (Roxb.) G.Klotz,Native,0,0,0,0,1,0,0,0,0
Cotoneaster marginatus (Loudon) Schltdl.,Cotoneaster integrifolius (Roxb.) G.Klotz,Native,0,0,0,1,0,0,0,0,0
Cotoneaster microphyllus Wall. ex Lindl.,Cotoneaster microphyllus Wall. ex Lindl.,Native,0,1,1,0,0,1,0,0,0
Cotoneaster roseus Edgew.,Cotoneaster roseus Edgew.,Native,0,0,0,0,0,0,0,1,0
Cotoneaster thymifolius Baker,Cotoneaster integrifolius (Roxb.) G.Klotz,Native,0,0,0,1,0,0,0,0,0
Craniotome versicolor Rchb.,Craniotome furcata (Link) Kuntze,Native,0,0,0,0,0,1,0,0,0
"Crucihimalaya stricta (Cambess.) Al-Shehbaz, O'Kane & R.A.Price","Crucihimalaya stricta (Cambess.) Al-Shehbaz, O'Kane & R.A.Price",Native,0,0,0,0,0,0,0,1,0
Cryptolepis buchananii R.Br. ex Roem. & Schult.,Cryptolepis buchananii R.Br. ex Roem. & Schult.,Native,0,0,0,1,0,0,0,0,0
Cupressus torulosa D.Don ex Lamb.,Cupressus torulosa D.Don ex Lamb.,Native,0,0,1,0,0,0,0,0,0
Cyathocline purpurea (Buch.-Ham. ex D.Don) Kuntze,Cyathocline purpurea (Buch.-Ham. ex D.Don) Kuntze,Native,0,0,0,1,0,0,0,0,0
Cyathula capitata Moq.,Cyathula capitata Moq.,Native,0,0,0,0,0,1,0,0,0
Cyathula tomentosa (Schult.) Moq.,Cyathula tomentosa (Schult.) Moq.,Native,0,0,0,0,0,1,0,0,0
Cynodon dactylon (L.) Pers.,Cynodon dactylon (L.) Pers.,Native,0,0,0,0,0,0,0,1,0
Cynoglossum amabile Stapf & J.R.Drumm.,Cynoglossum amabile Stapf & J.R.Drumm.,NA,0,0,1,0,0,0,0,0,0
Cynoglossum glochidiatum Wall. ex Benth.,Cynoglossum wallichii G.Don,Native,0,0,0,0,0,1,0,0,0
Cynoglossum microglochin Benth.,Cynoglossum microglochin Benth.,Native,0,0,0,0,0,0,0,1,0
Cynoglossum officinale L.,Cynoglossum officinale L.,NA,0,0,1,0,0,0,0,0,0
Cynoglossum zeylanicum (Sw. ex Lehm.) Thunb. ex Brand,Cynoglossum zeylanicum (Sw. ex Lehm.) Thunb. ex Brand,Native,0,0,0,0,0,1,0,0,0
Cyperus niveus Retz.,Cyperus niveus Retz.,Native,0,0,0,0,0,0,0,1,0
Cypripedium cordigerum D.Don,Cypripedium cordigerum D.Don,Native,0,0,0,0,0,0,0,1,0
Cypripedium himalaicum Rolfe,Cypripedium himalaicum Rolfe,Native,0,0,0,0,0,0,0,1,0
Dactylorhiza hatagirea (D.Don) Soó,Dactylorhiza hatagirea (D.Don) Soó,Native,0,1,0,0,0,0,0,1,0
Daphne cannabina Wall.,Daphne papyracea Wall. ex G.Don,Native,0,0,0,0,0,1,0,0,0
