"taxon_name","taxon_authors","LL","UL"
"Eragrostis atrovirens","(Desf.) Trin. ex Steud.",850,1050
"Eragrostis pilosa","(L.) P.Beauv.",1100,1300
"Eragrostis unioloides","(Retz.) Nees ex Steud.",950,1250
"Eragrostis viscosa","(Retz.) Trin.",300,1075
"Eranthemum pulchellum","Andrews",650,850
"Eremogone festucoides","(Benth.) Pusalkar & D.K.Singh",862.5,3600
"Erigeron acris","L.",300,3000
"Erigeron annuus","(L.) Desf",750,2250
"Erigeron canadensis","L.",1700,1800
"Erigeron multiradiatus","(Lindl. ex DC.) Benth. & Hook.f.",1400,3400
"Erigeron uniflorus","L.",1100,3100
"Eriocapitella rivularis","(Buch.-Ham. ex DC.) Christenh. & Byng",2067.5,2432.5
"Eriocapitella vitifolia","(Buch.-Ham. ex DC.) Nakai",1000,2300
"Erioscirpus comosus","(Wall.) Palla",1650,1850
"Erodium cicutarium","(L.) L'Hér.",1000,2200
"Erythrina suberosa","Roxb.",400,1200
"Eschenbachia japonica","(Thunb.) J.Kost.",1100,1500
"Eucalyptus tereticornis","Sm.",750,1050
"Eulalia hirtifolia","(Hack.) Kuntze",1000,2500
"Eulalia mollis","(Griseb.) Kuntze",1100,2600
"Eulaliopsis binata","(Retz.) C.E.Hubb.",1225,1375
"Euonymus echinatus","Wall.",1250,2250
"Euonymus fimbriatus","Wall.",1150,2850
"Euonymus hamiltonianus","Wall.",1150,1850
"Euonymus lucidus","D.Don",750,2250
"Euonymus tingens","Wall.",1200,2500
"Euphorbia clarkeana","Hook.f.",300,600
"Euphorbia helioscopia","L.",1250,1450
"Euphorbia heterophylla","L.",1050,1450
"Euphorbia hirta","L.",1175,1325
"Euphorbia indica","Lam.",650,1050
"Euphorbia maddenii","Boiss.",300,2100
"Euphorbia neriifolia","L.",700,1100
"Euphorbia pulcherrima","Willd. ex Klotzsch",485,715
"Euphorbia royleana","Boiss.",1015,1115
"Euphorbia stracheyi","Boiss.",1500,3500
"Euphorbia thymifolia","L.",800,1000
"Euploca strigosa","(Willd.) Diane & Hilger",700,800
"Eurya acuminata","DC.",1600,2400
"Evolvulus alsinoides","(L.) L.",800,1200
"Evolvulus nummularius","(L.) L.",675,825
"Evotrochis floribunda","(Wall.) Fırat & Lidén",793,1707
"Fagopyrum cymosum","(Trevir.) Meisn.",1650,2350
"Fagopyrum esculentum","Moench",1965,2235
"Falconeria insignis","Royle",850,1150
"Festuca kashmiriana","Stapf",300,3300
"Festuca valesiaca","Schleich. ex Gaudin",1750,3250
"Ficus auriculata","Lour.",1000,1200
"Ficus benghalensis","L.",800,900
"Ficus carica","L.",300,700
"Ficus hispida","L.f.",600,700
"Ficus neriifolia","Sm.",1300,1400
"Ficus palmata","Forssk.",1393.5,1606.5
"Ficus racemosa","L.",800,900
"Ficus religiosa","L.",725,875
"Ficus sarmentosa","Buch.-Ham. ex Sm.",1150,1550
"Ficus semicordata","Buch.-Ham. ex Sm.",850,1050
"Filipendula vestita","(Wall. ex G.Don) Maxim.",1000,3000
"Fimbristylis dichotoma","(L.) Vahl",1555,1655
"Fimbristylis quinquangularis","(Vahl) Kunth",950,1050
"Fimbristylis rigidula","Nees",425,575
"Flacourtia indica","(Burm.f.) Merr.",1140,1440
"Flacourtia jangomas","(Lour.) Raeusch.",550,650
"Flemingia semialata","Roxb. ex W.T.Aiton",848,1152
"Flemingia strobilifera","(L.) W.T.Aiton",1325,1425
"Flueggea virosa","(Roxb. ex Willd.) Royle",1225,1475
"Fraxinus micrantha","Lingelsh.",900,2100
"Fritillaria cirrhosa","D.Don",1090,3600
"Fumaria indica","(Hausskn.) Pugsley",1125,1275
"Gagea lutea","(L.) Ker Gawl.",1300,3000
"Gagea serotina","(L.) Ker Gawl.",1100,3600
"Galinsoga parviflora","Cav.",1300,1700
"Galium acutum","Edgew.",1898,2202
"Galium aparine","L.",1800,2200
"Galium asperifolium","Wall.",1700,2300
"Galium asperuloides","Edgew.",850,2350
"Galium elegans","Wall.",1650,1850
"Garuga pinnata","Roxb.",700,800
"Gaultheria trichophylla","Royle",900,3600
"Gentiana argentea","(Royle ex D.Don) Royle ex D.Don",2000,2400
"Gentiana pedicellata","(D.Don) Griseb.",1875,2625
"Gentianopsis paludosa","(Hook.f.) Ma",938.5,3600
"Geranium himalayense","Klotzsch",850,3350
"Geranium lucidum","L.",600,2400
"Geranium mascatense","Boiss.",1598,1902
"Geranium nepalense","Sweet",1500,2500
"Geranium robertianum","L.",1009.5,2990.5
"Geranium wallichianum","D.Don ex Sweet",1300,2900
"Geum elatum","Wall. ex G.Don",1350,3350
"Girardinia diversifolia","(Link) Friis",1300,1700
"Glochidion heyneanum","(Wight & Arn.) Wight",839.5,989.5
"Gloriosa superba","L.",1050,1150
"Gmelina arborea","Roxb. ex Sm.",800,900
"Gnaphalium polycaulon","Pers.",925,1125
"Gonostegia triandra","(Blume) Miq.",1200,1300
"Goodyera biflora","(Lindl.) Hook.f.",1000,1500
"Goodyera fusca","(Lindl.) Hook.f.",1835,3335
"Goodyera repens","(L.) R.Br.",1600,2600
"Gossypium arboreum","L.",600,900
"Grangea maderaspatana","(L.) Poir.",450,550
"Grevillea robusta","A.Cunn. ex R.Br.",700,800
"Grewia eriocarpa","Juss.",648,952
"Grewia optiva","J.R.Drumm. ex Burret",1175,1325
"Grewia tenax","(Forssk.) Fiori",300,600
"Grewia tiliifolia","Vahl",300,750
"Griffitharia lanata","(D.Don) Rushforth",450,2950
"Grona heterocarpos","(L.) H.Ohashi & K.Ohashi",1200,1300
"Grona triflora","(L.) H.Ohashi & K.Ohashi",1100,1200
"Guilandina bonduc","L.",775,875
"Gymnosporia royleana","Wall. ex M.A.Lawson",800,1200
"Habenaria commelinifolia","(Roxb.) Wall. ex Lindl.",450,750
"Habenaria intermedia","D.Don",750,2250
"Habenaria marginata","Colebr.",800,1200
"Habenaria pectinata","D.Don",1400,1800
"Habenaria plantaginea","Lindl.",300,700
"Hackelia uncinata","(Royle ex Benth.) C.E.C.Fisch.",750,3450
"Halenia elliptica","D.Don",2088.5,2788.5
"Hedera nepalensis","K.Koch",1000,2200
"Hedychium spicatum","Sm.",1295,1905
"Helicteres isora","L.",675,825
"Helinus lanceolatus","Brandis",1050,1450
"Hellenia speciosa","(J.Koenig) S.R.Dutta",300,825
"Hemiphragma heterophyllum","Wall.",1885,2385
"Hemipilia chusua","(D.Don) Y.Tang & H.Peng",1250,3600
"Henckelia bifolia","(D.Don) A.Dietr.",1550,2450
"Heracleum candicans","Wall. ex DC.",1550,3050
"Herminium clavigerum","(Lindl.) X.H.Jin, Schuit., Raskoti & Lu Q.Huang",1400,3200
"Herminium edgeworthii","(Hook.f. ex Collett) X.H.Jin, Schuit., Raskoti & Lu Q.Huang",750,2250
"Herminium elisabethae","(Duthie) Tang & F.T.Wang",900,2900
"Herminium lanceum","(Thunb. ex Sw.) Vuijk",1950,2350
"Herminium monorchis","(L.) R.Br.",850,3600
"Heteropogon contortus","(L.) P.Beauv. ex Roem. & Schult.",1300,1700
"Hibiscus lobatus","(Murray) Kuntze",562.5,962.5
"Himalrandia tetrasperma","(Wall. ex Roxb.) T.Yamaz.",1200,1800
"Hippolytia longifolia","(Rech.f.) C.Shih",700,3600
"Holmskioldia sanguinea","Retz.",700,800
"Holoptelea integrifolia","(Roxb.) Planch.",550,650
"Hygrophila auriculata","(Schumach.) Heine",300,450
